CategoryID,Category,ItemID,Item,Size,Price,Image,Note,Extra
CAT04,Đồ ăn vặt,ĐĂ03,Bò viên chiên,,10000,assets/images/bò_viên_chiên.jpg,,
CAT04,Đồ ăn vặt,ĐĂ04,Tôm viên chiên,,10000,assets/images/tôm_viên_chiên.jpg,,
CAT04,Đồ ăn vặt,ĐĂ05,Xúc xích chiên,,12000,assets/images/xúc_xích_chiên.jpg,,
CAT04,Đồ ăn vặt,ĐĂ06,Hồ lô chiên,,10000,assets/images/hồ_lô_chiên.jpg,,
CAT04,Đồ ăn vặt,ĐĂ07,Đậu hủ phô mai chiên,,12000,assets/images/đậu_hủ_phô_mai_chiên.jpg,,
CAT04,Đồ ăn vặt,ĐĂ08,Thập cẩm chiên (vừa),,50000,assets/images/thập_cẩm_chiên_vừa.jpg,,
CAT04,Đồ ăn vặt,ĐĂ09,Thập cẩm chiên (lớn),,75000,assets/images/thập_cẩm_chiên_lớn.jpg,,
CAT04,Đồ ăn vặt,ĐĂ10,Hạt hướng dương,,10000,assets/images/hạt_hướng_dương.jpg,,
CAT04,Đồ ăn vặt,ĐĂ11,Hạt hướng dương vị Dừa,,15000,assets/images/hạt_hướng_dương_vị_dừa.jpg,,
CAT05,Soda,S01,Soda dâu,,22000,assets/images/soda_dâu.jpg,,
CAT05,Soda,S02,Soda việt quất,,22000,assets/images/soda_việt_quất.jpg,,
CAT05,Soda,S03,Soda chanh tươi,,22000,assets/images/soda_chanh_tươi.jpg,,
CAT05,Soda,S04,Soda Hoa Anh Đào,,22000,assets/images/soda_hoa_anh_đào.jpg,+ Topping thêm 5k,
CAT06,Topping,T01,Trân châu đen,,,assets/images/trân_châu_đen.jpg,,5000
CAT06,Topping,T02,Trân châu Ôlong,,,assets/images/trân_châu_ôlong.jpg,,5000
CAT06,Topping,T03,Thạch sữa Phô mai,,,assets/images/thạch_sữa_phô_mai.jpg,,5000
CAT06,Topping,T04,Trân châu Phô mai,,,assets/images/trân_châu_phô_mai.jpg,,5000
CAT06,Topping,T05,Hạt nổ củ năng,,,assets/images/hạt_nổ_củ_năng.jpg,,5000
CAT06,Topping,T06,Thạch bi Phô mai,,,assets/images/thạch_bi_phô_mai.jpg,,5000
CAT06,Topping,T07,Thạch dưa mini,,,assets/images/thạch_dưa_mini.jpg,,5000
